ms,degC
-24971,35.20
-22947,35.50
-20923,35.60
-18900,35.60
-16878,35.60
-14856,35.60
-12832,35.60
-10808,35.60
-8785,35.60
-6763,35.60
-4741,35.60
-2718,35.60
-695,35.60
1329,36.00
3352,36.30
5377,36.30
7400,36.30
9422,36.30
11445,36.30
13467,36.30
15490,36.30
17512,36.30
19536,36.30
21560,36.30
23582,36.30
25605,36.30
27627,36.30
29649,36.30
31673,36.30
-31839,36.30
-29815,36.30
-27793,36.60
-25770,36.90
-11609,36.90
-9586,36.90
-7564,36.90
-5541,36.90
-3519,36.90
-1497,36.90
526,36.90
2548,36.90
4572,36.90
6595,36.90
8620,36.90
10643,36.90
12666,36.90
14689,36.90
16711,36.90
18734,36.90
20756,36.90
22778,36.90
24803,36.90
26826,36.90
28849,36.90
30871,36.90
-32643,36.90
-30620,36.90
-28597,36.90
-26572,36.90
-24549,36.90
-22526,36.90
-20504,36.90
-18482,36.90
-16459,36.90
-14436,37.00
-6344,37.40
-4322,37.40
-2297,37.40
-274,37.40
1748,37.40
3771,37.40
5793,37.40
7816,37.40
9839,37.40
11864,37.40
13886,37.40
15908,37.40
17931,37.40
19955,37.40
21978,37.40
24000,37.40
26022,37.40
28047,37.40
30069,37.40
32092,37.40
-31422,37.40
-29397,37.40
-27375,37.40
-25353,37.40
-23330,37.40
-21306,37.40
-19283,37.40
-17261,37.40
-15239,37.40
-13214,37.40
-11192,37.40